127.0.0.1 - - [06/Feb/2019:05:51:40 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:52:19 +0530] "GET /contactdetails/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:53:32 +0530] "GET /contactdetails/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:54:05 +0530] "GET /contactdetails/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:57:06 +0530] "GET /contactdetails/telecomprovider/contacts HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:57:35 +0530] "GET /contactdetails/telecomprovider/contacts HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:57:36 +0530] "GET /contactdetails/telecomprovider/contacts HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:57:37 +0530] "GET /contactdetails/telecomprovider/contacts HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:57:58 +0530] "GET /contactdetails/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:59:02 +0530] "GET /telecomprovider/contacts/ HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [06/Feb/2019:05:59:48 +0530] "GET /contactdetails/rest HTTP/1.1" 500 4891
0:0:0:0:0:0:0:1 - - [06/Feb/2019:06:00:08 +0530] "GET /contactdetails/rest/telecomprovider/contacts HTTP/1.1" 500 4891
0:0:0:0:0:0:0:1 - - [06/Feb/2019:06:00:15 +0530] "GET /contactdetails/rest/telecomprovider/contacts/ HTTP/1.1" 500 4891
0:0:0:0:0:0:0:1 - - [06/Feb/2019:06:06:32 +0530] "GET /contactdetails/rest/telecomprovider/contacts/ HTTP/1.1" 500 4891
0:0:0:0:0:0:0:1 - - [06/Feb/2019:06:08:18 +0530] "GET /contactdetails/rest/telecom/contacts/ HTTP/1.1" 500 4891
0:0:0:0:0:0:0:1 - - [06/Feb/2019:06:08:25 +0530] "GET /contactdetails/rest HTTP/1.1" 500 4891
0:0:0:0:0:0:0:1 - - [06/Feb/2019:06:10:22 +0530] "GET /contactdetails/rest HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [06/Feb/2019:06:10:38 +0530] "GET /contactdetails/rest/telecom/contacts HTTP/1.1" 200 114
